Transaction,datetime,Item,beverage,other,kids,snacks,bread,breakfast_pastry,breakfast,dessert,condiments,lunch,other_food,hour,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
20,2016-10-30 10:45:22,BreadMedialuna,0,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
21,2016-10-30 10:49:29,CoffeeCoffeeMedialunaBread,2,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
22,2016-10-30 10:52:15,Jam,0,0,0,0,0,0,0,0,1,0,0,10,False,False,True,False,False,False
23,2016-10-30 10:53:49,ScandinavianMuffin,0,0,0,0,1,1,0,0,0,0,0,10,False,False,True,False,False,False
24,2016-10-30 10:54:33,Bread,0,0,0,0,1,0,0,0,0,0,0,10,False,False,True,False,False,False
25,2016-10-30 10:55:22,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,10,False,False,True,False,False,False
26,2016-10-30 10:56:08,Fudge,0,0,0,0,0,0,0,1,0,0,0,10,False,False,True,False,False,False
27,2016-10-30 11:02:19,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
28,2016-10-30 11:03:24,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
29,2016-10-30 11:05:30,BreadJamNONE,0,1,0,0,1,0,0,0,1,0,0,11,False,False,True,False,False,False
30,2016-10-30 11:07:19,Bread,0,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
31,2016-10-30 11:12:56,Basket,0,0,0,0,0,0,0,0,0,0,1,11,False,False,True,False,False,False
32,2016-10-30 11:16:15,ScandinavianMuffin,0,0,0,0,1,1,0,0,0,0,0,11,False,False,True,False,False,False
33,2016-10-30 11:22:49,Coffee,1,0,0,0,0,0,0,0,0,0,0,11,False,False,True,False,False,False
34,2016-10-30 11:25:45,CoffeeMuffin,1,0,0,0,0,1,0,0,0,0,0,11,False,False,True,False,False,False
35,2016-10-30 11:27:34,MuffinScandinavian,0,0,0,0,1,1,0,0,0,0,0,11,False,False,True,False,False,False
36,2016-10-30 11:33:08,TeaBread,1,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
37,2016-10-30 11:37:10,CoffeeBreadNONE,1,1,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
38,2016-10-30 11:42:40,BreadTea,1,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
39,2016-10-30 11:44:31,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
40,2016-10-30 11:55:51,JuiceNONETartineCoffeeMuffin,2,1,0,0,0,1,0,1,0,0,0,11,False,False,True,False,False,False
41,2016-10-30 11:57:06,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
42,2016-10-30 11:57:45,BreadTea,1,0,0,0,1,0,0,0,0,0,0,11,False,False,True,False,False,False
43,2016-10-30 12:00:22,ScandinavianFudge,0,0,0,0,1,0,0,1,0,0,0,12,False,False,True,False,False,False
44,2016-10-30 12:05:47,CoffeeMedialuna,1,0,0,0,0,1,0,0,0,0,0,12,False,False,True,False,False,False
45,2016-10-30 12:08:36,CoffeeHot chocolateMedialuna,2,0,0,0,0,1,0,0,0,0,0,12,False,False,True,False,False,False
46,2016-10-30 12:09:04,Coffee,1,0,0,0,0,0,0,0,0,0,0,12,False,False,True,False,False,False
47,2016-10-30 12:15:29,Ella's Kitchen PouchesJuiceBreadMuffinJam,1,0,1,0,1,1,0,0,1,0,0,12,False,False,True,False,False,False
48,2016-10-30 12:17:02,Coffee,1,0,0,0,0,0,0,0,0,0,0,12,False,False,True,False,False,False
49,2016-10-30 12:23:01,CoffeeCoffeeMedialuna,2,0,0,0,0,1,0,0,0,0,0,12,False,False,True,False,False,False
50,2016-10-30 12:25:11,BreadVictorian Sponge,0,0,0,0,1,0,0,1,0,0,0,12,False,False,True,False,False,False
51,2016-10-30 12:26:58,Bread,0,0,0,0,1,0,0,0,0,0,0,12,False,False,True,False,False,False
52,2016-10-30 12:28:07,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,12,False,False,True,False,False,False
54,2016-10-30 12:33:08,Bread,0,0,0,0,1,0,0,0,0,0,0,12,False,False,True,False,False,False
55,2016-10-30 12:38:06,FrittataCoffeeTeaHearty & Seasonal,2,0,0,0,0,0,1,0,0,0,1,12,False,False,True,False,False,False
56,2016-10-30 12:39:27,CoffeeFrittata,1,0,0,0,0,0,1,0,0,0,0,12,False,False,True,False,False,False
57,2016-10-30 12:45:48,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,12,False,False,True,False,False,False
58,2016-10-30 12:59:29,Victorian SpongeHot chocolateTeaSoup,2,0,0,0,0,0,0,1,0,1,0,12,False,False,True,False,False,False
59,2016-10-30 13:02:04,TeaNONE,1,1,0,0,0,0,0,0,0,0,0,13,False,False,True,False,False,False
60,2016-10-30 13:14:04,CookiesCoffeeJuiceCoffee,3,0,0,0,0,0,0,1,0,0,0,13,False,False,True,False,False,False
61,2016-10-30 13:15:38,Coffee,1,0,0,0,0,0,0,0,0,0,0,13,False,False,True,False,False,False
62,2016-10-30 13:24:00,Pick and Mix BowlsHearty & SeasonalHearty & SeasonalCoffeeSmoothiesCoffee,3,0,0,1,0,0,0,0,0,0,2,13,False,False,True,False,False,False
63,2016-10-30 13:33:12,Coffee,1,0,0,0,0,0,0,0,0,0,0,13,False,False,True,False,False,False
64,2016-10-30 13:34:07,Cake,0,0,0,0,0,0,0,1,0,0,0,13,False,False,True,False,False,False
65,2016-10-30 13:37:25,NONETartineMighty ProteinTeaCoffee,2,1,0,1,0,0,0,1,0,0,0,13,False,False,True,False,False,False
66,2016-10-30 13:40:20,Hearty & SeasonalFrittataMineral water,1,0,0,0,0,0,1,0,0,0,1,13,False,False,True,False,False,False
67,2016-10-30 13:46:48,Hearty & SeasonalNONEMineral waterMuffin,1,1,0,0,0,1,0,0,0,0,1,13,False,False,True,False,False,False
68,2016-10-30 13:49:36,FrittataCoffeeTeaScandinavianChicken sand,2,0,0,0,1,0,1,0,0,1,0,13,False,False,True,False,False,False
69,2016-10-30 13:51:49,BreadTeaVictorian Sponge,1,0,0,0,1,0,0,1,0,0,0,13,False,False,True,False,False,False
70,2016-10-30 13:54:42,Fudge,0,0,0,0,0,0,0,1,0,0,0,13,False,False,True,False,False,False
71,2016-10-30 13:56:08,Muffin,0,0,0,0,0,1,0,0,0,0,0,13,False,False,True,False,False,False
72,2016-10-30 14:21:38,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,14,False,False,True,False,False,False
73,2016-10-30 14:22:39,Bread,0,0,0,0,1,0,0,0,0,0,0,14,False,False,True,False,False,False
74,2016-10-30 14:24:03,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,14,False,False,True,False,False,False
75,2016-10-30 14:32:26,NONEJamFrittata,0,1,0,0,0,0,1,0,1,0,0,14,False,False,True,False,False,False
76,2016-10-30 14:32:49,Coffee,1,0,0,0,0,0,0,0,0,0,0,14,False,False,True,False,False,False
77,2016-10-30 14:35:36,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,14,False,False,True,False,False,False
78,2016-10-30 14:42:29,Fudge,0,0,0,0,0,0,0,1,0,0,0,14,False,False,True,False,False,False
79,2016-10-30 14:45:44,FudgeTeaCoffeeMuffin,2,0,0,0,0,1,0,1,0,0,0,14,False,False,True,False,False,False
80,2016-10-30 14:48:40,FrittataBreadCoffee,1,0,0,0,1,0,1,0,0,0,0,14,False,False,True,False,False,False
81,2016-10-31 08:28:31,CoffeeCake,1,0,0,0,0,0,0,1,0,0,0,8,True,False,False,False,False,False
82,2016-10-31 08:47:05,TartineNONEBread,0,1,0,0,1,0,0,1,0,0,0,8,True,False,False,False,False,False
83,2016-10-31 08:57:47,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,8,True,False,False,False,False,False
84,2016-10-31 09:04:06,Bread,0,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
85,2016-10-31 09:10:09,CoffeeCoffeePastryMedialuna,2,0,0,0,0,2,0,0,0,0,0,9,True,False,False,False,False,False
86,2016-10-31 09:11:08,Juice,1,0,0,0,0,0,0,0,0,0,0,9,True,False,False,False,False,False
87,2016-10-31 09:12:56,Bread,0,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
88,2016-10-31 09:16:01,CoffeeCoffeeJam,2,0,0,0,0,0,0,0,1,0,0,9,True,False,False,False,False,False
89,2016-10-31 09:19:41,Bread,0,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
90,2016-10-31 09:20:12,BreadCoffee,1,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
91,2016-10-31 09:22:48,TeaNONE,1,1,0,0,0,0,0,0,0,0,0,9,True,False,False,False,False,False
92,2016-10-31 09:27:11,Coffee,1,0,0,0,0,0,0,0,0,0,0,9,True,False,False,False,False,False
93,2016-10-31 09:29:23,BreadCoke,1,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
94,2016-10-31 09:39:09,CoffeeCoffee,2,0,0,0,0,0,0,0,0,0,0,9,True,False,False,False,False,False
95,2016-10-31 09:43:37,TeaPastryFarm House,1,0,0,0,0,1,0,0,0,0,1,9,True,False,False,False,False,False
96,2016-10-31 09:46:48,PastryPastryCoffeeJuice,2,0,0,0,0,2,0,0,0,0,0,9,True,False,False,False,False,False
97,2016-10-31 09:51:11,CoffeePastryJuice,2,0,0,0,0,1,0,0,0,0,0,9,True,False,False,False,False,False
98,2016-10-31 09:52:22,Farm House,0,0,0,0,0,0,0,0,0,0,1,9,True,False,False,False,False,False
99,2016-10-31 09:56:37,PastryPastryCoffeeBread,1,0,0,0,1,2,0,0,0,0,0,9,True,False,False,False,False,False
100,2016-10-31 09:58:06,Bread,0,0,0,0,1,0,0,0,0,0,0,9,True,False,False,False,False,False
101,2016-10-31 10:04:02,CoffeePastry,1,0,0,0,0,1,0,0,0,0,0,10,True,False,False,False,False,False
102,2016-10-31 10:04:44,Farm House,0,0,0,0,0,0,0,0,0,0,1,10,True,False,False,False,False,False
103,2016-10-31 10:07:40,NONEBread,0,1,0,0,1,0,0,0,0,0,0,10,True,False,False,False,False,False
104,2016-10-31 10:12:48,CoffeeCoffeeMedialunaMuffinCoffee,3,0,0,0,0,2,0,0,0,0,0,10,True,False,False,False,False,False
105,2016-10-31 10:21:29,CoffeeTeaNONECake,2,1,0,0,0,0,0,1,0,0,0,10,True,False,False,False,False,False
106,2016-10-31 10:24:21,CoffeeCoffeePastryPastry,2,0,0,0,0,2,0,0,0,0,0,10,True,False,False,False,False,False
107,2016-10-31 10:27:30,CoffeeTea,2,0,0,0,0,0,0,0,0,0,0,10,True,False,False,False,False,False
108,2016-10-31 10:31:05,Farm HouseMuffin,0,0,0,0,0,1,0,0,0,0,1,10,True,False,False,False,False,False
109,2016-10-31 10:35:23,BreadMuffinPastry,0,0,0,0,1,2,0,0,0,0,0,10,True,False,False,False,False,False
110,2016-10-31 10:36:37,Pastry,0,0,0,0,0,1,0,0,0,0,0,10,True,False,False,False,False,False
111,2016-10-31 10:38:09,Coffee,1,0,0,0,0,0,0,0,0,0,0,10,True,False,False,False,False,False
112,2016-10-31 10:59:17,Coffee,1,0,0,0,0,0,0,0,0,0,0,10,True,False,False,False,False,False
113,2016-10-31 11:02:37,CoffeeCake,1,0,0,0,0,0,0,1,0,0,0,11,True,False,False,False,False,False
114,2016-10-31 11:05:45,Farm House,0,0,0,0,0,0,0,0,0,0,1,11,True,False,False,False,False,False
115,2016-10-31 11:08:53,Bread,0,0,0,0,1,0,0,0,0,0,0,11,True,False,False,False,False,False
116,2016-10-31 11:11:01,Coffee,1,0,0,0,0,0,0,0,0,0,0,11,True,False,False,False,False,False
117,2016-10-31 11:13:08,CookiesCakeCoffeeMy-5 Fruit Shoot,1,0,1,0,0,0,0,2,0,0,0,11,True,False,False,False,False,False
118,2016-10-31 11:18:29,CookiesCookiesTeaPastry,1,0,0,0,0,1,0,2,0,0,0,11,True,False,False,False,False,False
119,2016-10-31 11:25:56,CoffeeCoffeeMuffin,2,0,0,0,0,1,0,0,0,0,0,11,True,False,False,False,False,False
120,2016-10-31 11:29:01,Farm House,0,0,0,0,0,0,0,0,0,0,1,11,True,False,False,False,False,False
121,2016-10-31 11:30:59,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,11,True,False,False,False,False,False
122,2016-10-31 11:37:30,Cookies,0,0,0,0,0,0,0,1,0,0,0,11,True,False,False,False,False,False
123,2016-10-31 11:42:05,JamNONECoffeeCoffeeJuice,3,1,0,0,0,0,0,0,1,0,0,11,True,False,False,False,False,False
124,2016-10-31 11:43:10,CoffeeSoup,1,0,0,0,0,0,0,0,0,1,0,11,True,False,False,False,False,False
125,2016-10-31 11:47:18,Tea,1,0,0,0,0,0,0,0,0,0,0,11,True,False,False,False,False,False
126,2016-10-31 11:52:43,CoffeeJam,1,0,0,0,0,0,0,0,1,0,0,11,True,False,False,False,False,False
127,2016-10-31 11:53:11,Farm House,0,0,0,0,0,0,0,0,0,0,1,11,True,False,False,False,False,False
128,2016-10-31 11:55:00,NONETartineCoffeeTea,2,1,0,0,0,0,0,1,0,0,0,11,True,False,False,False,False,False
129,2016-10-31 11:59:23,CoffeeCoffeeCake,2,0,0,0,0,0,0,1,0,0,0,11,True,False,False,False,False,False
130,2016-10-31 12:03:12,CoffeeCoffeeMuffin,2,0,0,0,0,1,0,0,0,0,0,12,True,False,False,False,False,False
131,2016-10-31 12:08:28,BreadCoffee,1,0,0,0,1,0,0,0,0,0,0,12,True,False,False,False,False,False
132,2016-10-31 12:14:20,TeaJuicePick and Mix BowlsCookies,2,0,0,1,0,0,0,1,0,0,0,12,True,False,False,False,False,False
133,2016-10-31 12:16:32,Hearty & SeasonalSoup,0,0,0,0,0,0,0,0,0,1,1,12,True,False,False,False,False,False
134,2016-10-31 12:19:37,Hearty & SeasonalTeaFarm House,1,0,0,0,0,0,0,0,0,0,2,12,True,False,False,False,False,False
135,2016-10-31 12:20:21,Bread,0,0,0,0,1,0,0,0,0,0,0,12,True,False,False,False,False,False
136,2016-10-31 12:27:41,TeaSoup,1,0,0,0,0,0,0,0,0,1,0,12,True,False,False,False,False,False
137,2016-10-31 12:37:07,Farm House,0,0,0,0,0,0,0,0,0,0,1,12,True,False,False,False,False,False
138,2016-10-31 12:43:35,SoupHearty & SeasonalCoffee,1,0,0,0,0,0,0,0,0,1,1,12,True,False,False,False,False,False
139,2016-10-31 12:50:57,BreadMuffinHearty & Seasonal,0,0,0,0,1,1,0,0,0,0,1,12,True,False,False,False,False,False
140,2016-10-31 12:53:33,CoffeeCoffeeCookies,2,0,0,0,0,0,0,1,0,0,0,12,True,False,False,False,False,False
141,2016-10-31 12:54:28,Bread,0,0,0,0,1,0,0,0,0,0,0,12,True,False,False,False,False,False
142,2016-10-31 12:56:47,TeaMuffin,1,0,0,0,0,1,0,0,0,0,0,12,True,False,False,False,False,False
143,2016-10-31 12:59:08,Tea,1,0,0,0,0,0,0,0,0,0,0,12,True,False,False,False,False,False
144,2016-10-31 13:02:11,SoupHearty & Seasonal,0,0,0,0,0,0,0,0,0,1,1,13,True,False,False,False,False,False
145,2016-10-31 13:05:49,CoffeeTeaFocaccia,2,0,0,0,1,0,0,0,0,0,0,13,True,False,False,False,False,False
146,2016-10-31 13:08:30,Sandwich,0,0,0,0,0,0,0,0,0,1,0,13,True,False,False,False,False,False
147,2016-10-31 13:09:31,TartineCoffee,1,0,0,0,0,0,0,1,0,0,0,13,True,False,False,False,False,False
148,2016-10-31 13:21:17,FudgeCoffeeCoffee,2,0,0,0,0,0,0,1,0,0,0,13,True,False,False,False,False,False
149,2016-10-31 13:26:03,Coffee,1,0,0,0,0,0,0,0,0,0,0,13,True,False,False,False,False,False
150,2016-10-31 13:31:33,Bread,0,0,0,0,1,0,0,0,0,0,0,13,True,False,False,False,False,False
151,2016-10-31 13:50:17,CokeSoup,1,0,0,0,0,0,0,0,0,1,0,13,True,False,False,False,False,False
152,2016-10-31 13:51:18,Muffin,0,0,0,0,0,1,0,0,0,0,0,13,True,False,False,False,False,False
153,2016-10-31 13:55:22,TeaCoffeeCookiesMuffin,2,0,0,0,0,1,0,1,0,0,0,13,True,False,False,False,False,False
154,2016-10-31 14:00:21,Mighty ProteinHearty & SeasonalCoffeeCoke,2,0,0,1,0,0,0,0,0,0,1,14,True,False,False,False,False,False
155,2016-10-31 14:01:30,TeaMuffinSandwich,1,0,0,0,0,1,0,0,0,1,0,14,True,False,False,False,False,False
156,2016-10-31 14:04:16,CoffeeMuffin,1,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
157,2016-10-31 14:05:07,CoffeeBread,1,0,0,0,1,0,0,0,0,0,0,14,True,False,False,False,False,False
158,2016-10-31 14:20:29,CoffeeMuffin,1,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
159,2016-10-31 14:22:31,BreadHot chocolateCookies,1,0,0,0,1,0,0,1,0,0,0,14,True,False,False,False,False,False
160,2016-10-31 14:35:27,Mineral waterMuffin,1,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
161,2016-10-31 14:42:34,Tea,1,0,0,0,0,0,0,0,0,0,0,14,True,False,False,False,False,False
162,2016-10-31 14:44:48,Muffin,0,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
163,2016-10-31 14:47:16,CoffeeJuice,2,0,0,0,0,0,0,0,0,0,0,14,True,False,False,False,False,False
164,2016-10-31 14:47:36,CoffeeMuffin,1,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
165,2016-10-31 14:48:49,Tea,1,0,0,0,0,0,0,0,0,0,0,14,True,False,False,False,False,False
166,2016-10-31 14:49:28,CoffeeMuffin,1,0,0,0,0,1,0,0,0,0,0,14,True,False,False,False,False,False
167,2016-10-31 14:50:42,SandwichHearty & SeasonalBreadMineral water,1,0,0,0,1,0,0,0,0,1,1,14,True,False,False,False,False,False
168,2016-10-31 14:56:25,TeaCoffee,2,0,0,0,0,0,0,0,0,0,0,14,True,False,False,False,False,False
169,2016-10-31 15:05:17,Mineral water,1,0,0,0,0,0,0,0,0,0,0,15,True,False,False,False,False,False
170,2016-10-31 15:16:49,Coffee,1,0,0,0,0,0,0,0,0,0,0,15,True,False,False,False,False,False
171,2016-10-31 15:20:16,SoupTea,1,0,0,0,0,0,0,0,0,1,0,15,True,False,False,False,False,False
172,2016-10-31 17:06:47,BreadCoffee,1,0,0,0,1,0,0,0,0,0,0,17,True,False,False,False,False,False
173,2016-10-31 17:08:09,BreadMuffin,0,0,0,0,1,1,0,0,0,0,0,17,True,False,False,False,False,False
174,2016-10-31 17:40:21,Coffee,1,0,0,0,0,0,0,0,0,0,0,17,True,False,False,False,False,False
175,2016-10-31 17:49:42,Bread,0,0,0,0,1,0,0,0,0,0,0,17,True,False,False,False,False,False
176,2016-10-31 18:22:24,CookiesCoffee,1,0,0,0,0,0,0,1,0,0,0,18,True,False,False,False,False,False
178,2016-11-01 07:51:20,CoffeePastry,1,0,0,0,0,1,0,0,0,0,0,7,False,False,False,False,True,False
179,2016-11-01 08:20:50,CoffeePastry,1,0,0,0,0,1,0,0,0,0,0,8,False,False,False,False,True,False
180,2016-11-01 08:22:28,JamTea,1,0,0,0,0,0,0,0,1,0,0,8,False,False,False,False,True,False
181,2016-11-01 08:45:20,TeaTea,2,0,0,0,0,0,0,0,0,0,0,8,False,False,False,False,True,False
182,2016-11-01 09:07:47,PastryPastryElla's Kitchen Pouches,0,0,1,0,0,2,0,0,0,0,0,9,False,False,False,False,True,False
183,2016-11-01 09:09:26,Pastry,0,0,0,0,0,1,0,0,0,0,0,9,False,False,False,False,True,False
184,2016-11-01 09:26:03,Farm HouseNONETea,1,1,0,0,0,0,0,0,0,0,1,9,False,False,False,False,True,False
185,2016-11-01 09:29:25,TeaVictorian Sponge,1,0,0,0,0,0,0,1,0,0,0,9,False,False,False,False,True,False
186,2016-11-01 09:43:13,TeaPastry,1,0,0,0,0,1,0,0,0,0,0,9,False,False,False,False,True,False
187,2016-11-01 10:02:27,Bread,0,0,0,0,1,0,0,0,0,0,0,10,False,False,False,False,True,False
188,2016-11-01 10:04:05,Coffee,1,0,0,0,0,0,0,0,0,0,0,10,False,False,False,False,True,False
189,2016-11-01 10:29:02,BreadCoffee,1,0,0,0,1,0,0,0,0,0,0,10,False,False,False,False,True,False
190,2016-11-01 10:34:53,CoffeePastryPastry,1,0,0,0,0,2,0,0,0,0,0,10,False,False,False,False,True,False
191,2016-11-01 10:50:50,SoupTea,1,0,0,0,0,0,0,0,0,1,0,10,False,False,False,False,True,False
192,2016-11-01 10:56:08,NONEBread,0,1,0,0,1,0,0,0,0,0,0,10,False,False,False,False,True,False
193,2016-11-01 11:00:48,Coffee,1,0,0,0,0,0,0,0,0,0,0,11,False,False,False,False,True,False
194,2016-11-01 11:04:36,BreadBread,0,0,0,0,2,0,0,0,0,0,0,11,False,False,False,False,True,False
195,2016-11-01 11:06:09,BreadNONEScandinavian,0,1,0,0,2,0,0,0,0,0,0,11,False,False,False,False,True,False
196,2016-11-01 11:08:18,BreadCakeCookies,0,0,0,0,1,0,0,2,0,0,0,11,False,False,False,False,True,False
197,2016-11-01 11:10:11,CoffeeCoffeeTea,3,0,0,0,0,0,0,0,0,0,0,11,False,False,False,False,True,False
198,2016-11-01 11:11:58,CoffeeCookies,1,0,0,0,0,0,0,1,0,0,0,11,False,False,False,False,True,False
199,2016-11-01 11:13:20,Coffee,1,0,0,0,0,0,0,0,0,0,0,11,False,False,False,False,True,False
200,2016-11-01 11:16:30,Bread,0,0,0,0,1,0,0,0,0,0,0,11,False,False,False,False,True,False
201,2016-11-01 11:22:36,NONECoffeePastry,1,1,0,0,0,1,0,0,0,0,0,11,False,False,False,False,True,False
202,2016-11-01 11:23:19,CoffeeCoffee,2,0,0,0,0,0,0,0,0,0,0,11,False,False,False,False,True,False
203,2016-11-01 11:25:53,Coffee,1,0,0,0,0,0,0,0,0,0,0,11,False,False,False,False,True,False
204,2016-11-01 11:30:00,ScandinavianBread,0,0,0,0,2,0,0,0,0,0,0,11,False,False,False,False,True,False
205,2016-11-01 11:49:31,CoffeeCoffeePastry,2,0,0,0,0,1,0,0,0,0,0,11,False,False,False,False,True,False
206,2016-11-01 11:54:17,ScandinavianCoffeePastry,1,0,0,0,1,1,0,0,0,0,0,11,False,False,False,False,True,False
207,2016-11-01 12:03:37,Hearty & SeasonalCoffeeMuffin,1,0,0,0,0,1,0,0,0,0,1,12,False,False,False,False,True,False
208,2016-11-01 12:10:09,Bread,0,0,0,0,1,0,0,0,0,0,0,12,False,False,False,False,True,False
209,2016-11-01 12:10:38,Coffee,1,0,0,0,0,0,0,0,0,0,0,12,False,False,False,False,True,False
210,2016-11-01 12:12:26,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,12,False,False,False,False,True,False
211,2016-11-01 12:15:36,SoupCoffee,1,0,0,0,0,0,0,0,0,1,0,12,False,False,False,False,True,False
212,2016-11-01 12:20:30,CoffeeCookiesTartine,1,0,0,0,0,0,0,2,0,0,0,12,False,False,False,False,True,False
213,2016-11-01 12:22:04,Bread,0,0,0,0,1,0,0,0,0,0,0,12,False,False,False,False,True,False
214,2016-11-01 12:26:43,BreadTeaTea,2,0,0,0,1,0,0,0,0,0,0,12,False,False,False,False,True,False
215,2016-11-01 12:30:30,PastryCoffee,1,0,0,0,0,1,0,0,0,0,0,12,False,False,False,False,True,False
216,2016-11-01 12:31:30,TartineCoffee,1,0,0,0,0,0,0,1,0,0,0,12,False,False,False,False,True,False
217,2016-11-01 12:33:31,BreadCookies,0,0,0,0,1,0,0,1,0,0,0,12,False,False,False,False,True,False
218,2016-11-01 12:37:29,Sandwich,0,0,0,0,0,0,0,0,0,1,0,12,False,False,False,False,True,False
219,2016-11-01 12:41:16,Tartine,0,0,0,0,0,0,0,1,0,0,0,12,False,False,False,False,True,False
220,2016-11-01 12:49:16,BreadPastry,0,0,0,0,1,1,0,0,0,0,0,12,False,False,False,False,True,False
221,2016-11-01 12:53:18,BreadScandinavian,0,0,0,0,2,0,0,0,0,0,0,12,False,False,False,False,True,False
222,2016-11-01 13:08:46,Scandinavian,0,0,0,0,1,0,0,0,0,0,0,13,False,False,False,False,True,False
223,2016-11-01 13:11:34,AlfajoresCoffee,1,0,0,0,0,0,0,1,0,0,0,13,False,False,False,False,True,False
224,2016-11-01 13:15:08,Coffee,1,0,0,0,0,0,0,0,0,0,0,13,False,False,False,False,True,False
225,2016-11-01 13:19:00,CoffeeCokeSoup,2,0,0,0,0,0,0,0,0,1,0,13,False,False,False,False,True,False
226,2016-11-01 13:21:52,Cake,0,0,0,0,0,0,0,1,0,0,0,13,False,False,False,False,True,False
227,2016-11-01 13:31:35,TeaSandwichSoup,1,0,0,0,0,0,0,0,0,2,0,13,False,False,False,False,True,False
228,2016-11-01 13:33:54,Coffee,1,0,0,0,0,0,0,0,0,0,0,13,False,False,False,False,True,False
229,2016-11-01 13:37:48,Hearty & SeasonalBread,0,0,0,0,1,0,0,0,0,0,1,13,False,False,False,False,True,False
